Series_reference,Period,Data_value,STATUS,UNITS,MAGNTUDE,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
GFSA.SLS02G06Z616111,2011.06,63860,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Fixed Assets",Non-financial assets,Fixed assets,Buildings and structures,,
GFSA.SLS02G06Z616111,2012.06,66057,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Fixed Assets",Non-financial assets,Fixed assets,Buildings and structures,,
GFSA.SLS02G06Z616111,2013.06,68029,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Fixed Assets",Non-financial assets,Fixed assets,Buildings and structures,,
GFSA.SLS02G06Z616111,2014.06,71747,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Fixed Assets",Non-financial assets,Fixed assets,Buildings and structures,,
GFSA.SLS02G06Z616111,2015.06,74818,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Fixed Assets",Non-financial assets,Fixed assets,Buildings and structures,,
GFSA.SLS02G06Z616111,2016.06,76942,REVISED,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Fixed Assets",Non-financial assets,Fixed assets,Buildings and structures,,
GFSA.SLS02G06Z616111,2017.06,82258,REVISED,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Fixed Assets",Non-financial assets,Fixed assets,Buildings and structures,,
GFSA.SLS02G06Z616111,2018.06,84841,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Fixed Assets",Non-financial assets,Fixed assets,Buildings and structures,,
GFSA.SLS02G06Z616112,2009.06,2303,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Fixed Assets",Non-financial assets,Fixed assets,Machinery and equipment,,
GFSA.SLS02G06Z616112,2010.06,2167,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Fixed Assets",Non-financial assets,Fixed assets,Machinery and equipment,,
GFSA.SLS02G06Z616112,2011.06,1925,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Fixed Assets",Non-financial assets,Fixed assets,Machinery and equipment,,
GFSA.SLS02G06Z616112,2012.06,1983,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Fixed Assets",Non-financial assets,Fixed assets,Machinery and equipment,,
GFSA.SLS02G06Z616112,2013.06,2050,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Fixed Assets",Non-financial assets,Fixed assets,Machinery and equipment,,
GFSA.SLS02G06Z616112,2014.06,2119,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Fixed Assets",Non-financial assets,Fixed assets,Machinery and equipment,,
