Series_reference,Period,Data_value,STATUS,UNITS,MAGNTUDE,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
GFSA.SGS01G02144,2018.06,2465,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Interest income,,,,
GFSA.SGS01G02981,2009.06,172,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Current grants,,,,
GFSA.SGS01G02981,2010.06,164,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Current grants,,,,
GFSA.SGS01G02981,2011.06,174,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Current grants,,,,
GFSA.SGS01G02981,2012.06,174,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Current grants,,,,
GFSA.SGS01G02981,2013.06,185,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Current grants,,,,
GFSA.SGS01G02981,2014.06,214,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Current grants,,,,
GFSA.SGS01G02981,2015.06,238,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Current grants,,,,
GFSA.SGS01G02981,2016.06,285,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Current grants,,,,
GFSA.SGS01G02981,2017.06,253,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Current grants,,,,
GFSA.SGS01G02981,2018.06,289,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Current grants,,,,
GFSA.SGS01G02982,2009.06,1107,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Other current transfers,,,,
GFSA.SGS01G02982,2010.06,1269,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Other current transfers,,,,
GFSA.SGS01G02982,2011.06,1347,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Other current transfers,,,,
GFSA.SGS01G02982,2012.06,1162,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Other current transfers,,,,
GFSA.SGS01G02982,2013.06,1411,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Other current transfers,,,,
GFSA.SGS01G02982,2014.06,1349,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Other current transfers,,,,
GFSA.SGS01G02982,2015.06,1055,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Other current transfers,,,,
GFSA.SGS01G02982,2016.06,1015,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Other current transfers,,,,
GFSA.SGS01G02982,2017.06,1009,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Other current transfers,,,,
GFSA.SGS01G02982,2018.06,1024,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Other current transfers,,,,
GFSA.SGS01G02991,2009.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Capital grants,,,,
GFSA.SGS01G02991,2010.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Capital grants,,,,
GFSA.SGS01G02991,2011.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Capital grants,,,,
GFSA.SGS01G02991,2012.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Capital grants,,,,
GFSA.SGS01G02991,2013.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Capital grants,,,,
GFSA.SGS01G02991,2014.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Capital grants,,,,
GFSA.SGS01G02991,2015.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Capital grants,,,,
GFSA.SGS01G02991,2016.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Capital grants,,,,
GFSA.SGS01G02991,2017.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Capital grants,,,,
GFSA.SGS01G02991,2018.06,0,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Capital grants,,,,
GFSA.SGS01G02992,2009.06,343,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Other capital transfers,,,,
GFSA.SGS01G02992,2010.06,398,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Other capital transfers,,,,
GFSA.SGS01G02992,2011.06,244,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Other capital transfers,,,,
GFSA.SGS01G02992,2012.06,203,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Other capital transfers,,,,
GFSA.SGS01G02992,2013.06,276,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Other capital transfers,,,,
GFSA.SGS01G02992,2014.06,353,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Other capital transfers,,,,
GFSA.SGS01G02992,2015.06,605,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Other capital transfers,,,,
GFSA.SGS01G02992,2016.06,629,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Other capital transfers,,,,
GFSA.SGS01G02992,2017.06,580,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Other capital transfers,,,,
GFSA.SGS01G02992,2018.06,589,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Other capital transfers,,,,
GFSA.SGS01G02998,2009.06,61580,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Taxation revenue,,,,
GFSA.SGS01G02998,2010.06,57307,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Taxation revenue,,,,
GFSA.SGS01G02998,2011.06,58967,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Taxation revenue,,,,
GFSA.SGS01G02998,2012.06,62983,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Taxation revenue,,,,
GFSA.SGS01G02998,2013.06,66805,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Taxation revenue,,,,
GFSA.SGS01G02998,2014.06,70042,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Taxation revenue,,,,
GFSA.SGS01G02998,2015.06,75199,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Taxation revenue,,,,
GFSA.SGS01G02998,2016.06,79563,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Taxation revenue,,,,
GFSA.SGS01G02998,2017.06,85236,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Taxation revenue,,,,
GFSA.SGS01G02998,2018.06,90205,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Taxation revenue,,,,
GFSA.SGS01G02Z99,2009.06,75267,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Total,,,,
GFSA.SGS01G02Z99,2010.06,72550,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Total,,,,
GFSA.SGS01G02Z99,2011.06,78748,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Total,,,,
GFSA.SGS01G02Z99,2012.06,79000,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Total,,,,
GFSA.SGS01G02Z99,2013.06,82779,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Total,,,,
GFSA.SGS01G02Z99,2014.06,86977,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Total,,,,
GFSA.SGS01G02Z99,2015.06,91897,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Total,,,,
GFSA.SGS01G02Z99,2016.06,96659,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Total,,,,
